episode,return,update
1,-175.14069652463942,1
2,-124.5371357828993,1
3,-310.2485716706119,1
4,-247.0836270815536,1
5,-236.54493336952999,1
6,-137.9645772688253,2
7,-133.18175103245215,2
8,-367.8376477659114,2
9,-80.40939551661351,2
10,-337.8533320519373,2
11,-182.42461781765374,2
12,-79.18845433140733,3
13,-128.95233589448665,3
14,-96.33445355196399,3
15,-91.77819568462658,3
16,-365.9827864090658,3
17,-292.97655147548204,3
18,-108.79422233874763,3
19,-460.439493205572,4
20,-245.5859497540245,4
21,-117.41012649818586,4
22,-92.74579295243294,4
23,-153.62530859848505,4
24,-356.13525908526697,4
25,-119.34469228258867,5
26,-388.06331582163625,5
27,-224.1495765644528,5
28,-390.7731745508727,5
29,-92.78994546359826,5
30,-140.21139471366916,5
31,-113.82796224758636,6
32,-107.7900169879283,6
33,-231.64010234335188,6
34,-183.259850450677,6
35,6.7872461603659815,6
36,-112.33056310188965,6
37,-303.33271939716735,7
38,-197.63959965207374,7
39,-120.59718219843558,7
40,-195.2221152215182,7
41,-101.17463366684629,7
42,-168.51194378751313,7
43,-122.23049085259402,7
44,-144.96731527386885,8
45,-137.1007126816222,8
46,-92.20392292548895,8
47,-100.69345469126033,8
48,-139.25193522425084,8
49,-159.5208701867317,8
50,-223.10639703584633,9
51,-285.7609590508141,9
52,-190.97064492492848,9
53,-89.30370981515301,9
54,-114.87201852280911,9
55,-240.68277093186197,9
56,-119.1917602929186,10
57,-184.69748014412687,10
58,-82.38726571002489,10
59,-132.18157658190216,10
60,-69.41946434935412,10
61,-101.75904785543507,10
62,-80.66878871408552,10
63,-154.33420825561916,11
64,-65.1008121946841,11
65,-277.9959927099802,11
66,-134.639123207119,11
67,-145.0064709948498,11
68,-83.0610210347203,11
69,-336.5638771178466,11
70,-269.84727038071844,12
71,-256.53739459424605,12
72,-372.88051543881977,12
73,-73.44931122216025,12
74,-178.61924506275693,12
75,-199.1410061244405,13
76,-484.2221300297434,13
77,-214.79781849246444,13
78,-504.5858360625021,13
79,-150.03695730767276,13
80,-206.85697950860066,13
81,-180.17292446146163,13
82,-94.29958306275303,14
83,-208.23346059459396,14
84,-460.0953856908643,14
85,-441.52122034598756,14
86,-228.75963816249657,14
87,-211.13150017654831,15
88,-530.2984171338533,15
89,-69.2126535145431,15
90,-84.15751520027648,15
91,-597.7397678446544,15
92,-261.3031608994339,15
93,-490.6651564457007,16
94,-426.9642302827282,16
95,-522.2458196301914,16
96,-197.6614064818157,16
97,-345.03033419826875,16
98,-490.912624689026,16
99,-456.6324216203345,17
100,-430.10598470398276,17
101,-534.2710934941625,17
102,-516.472336458771,17
103,-389.36751875601516,17
104,-189.90777976407273,18
105,-358.48336479190795,18
106,-173.45567659290566,18
107,-136.52821628636764,18
108,-280.6941711262199,18
109,-287.5739835596073,18
110,-351.07482998021203,19
111,-400.1787787733965,19
112,-556.5316345757401,19
113,-154.13930806844039,19
114,-381.194547895845,19
115,-459.27799596835035,20
116,-433.3718559689464,20
117,-156.11765311347375,20
118,-349.5022881305488,20
119,-413.7672798992389,20
120,-107.66934603920589,20
121,-409.76277174204205,21
122,-284.4871006931811,21
123,-485.5191408736424,21
124,-113.22889287178863,21
125,-304.0631095780394,21
126,-101.19573779272929,22
127,-317.8451827717869,22
128,-343.9613222857068,22
129,-323.6540013211685,22
130,-85.71781585848628,22
131,-211.95119953761898,22
132,-71.85194619868977,23
133,-191.57682665555464,23
134,-148.8689389300452,23
135,-110.62713032993541,23
136,-315.7129589956383,23
137,-174.3407190970793,24
138,-86.74981297059149,24
139,-426.21162362727136,24
140,-371.91088989107084,24
141,-96.78746417953626,25
142,-197.71327109727872,25
143,-113.63298270229164,25
144,-248.14120980175008,25
145,-444.8534218921294,25
146,-290.8905277848795,26
147,-607.5231820508712,26
148,-114.73118780659372,26
149,-440.8711626855268,26
150,-565.1257580140236,27
151,-54.01559760542836,27
152,-344.50851192160894,27
153,-265.4524148205501,27
154,-437.63805600032794,27
155,-121.28430322196736,27
156,-391.42087815792655,28
157,-393.9565933414217,28
158,-492.7338798766745,28
159,-500.14230982516085,28
160,-330.05568353353084,28
161,17.571346763191443,29
162,-449.1252662726706,29
163,-253.599724887986,29
164,-410.10768394163455,29
165,-79.7888393928805,29
166,-144.5304198090003,30
167,-317.418206242589,30
168,-115.09870297653356,30
169,-207.7173859093817,30
170,-400.412268782303,30
171,-354.00597542864864,31
172,-109.2830312159323,31
173,-386.6086987131067,31
174,-173.49938452419636,31
175,-372.77752361570407,32
176,-516.59707611875,32
177,-570.7486806922686,32
178,-572.0308974591517,32
179,-477.4821929298815,32
180,-27.68024727096106,33
181,-62.79663301783784,33
182,-331.06488047663964,33
183,-195.5896096854964,33
184,-163.47646750161115,34
185,-264.70110297997144,34
186,-102.52045615535924,34
187,-91.38821021435784,34
188,-470.96198557500895,34
189,-295.3041516562363,34
190,-101.423590333444,35
191,-438.47990900182015,35
192,-281.8666738087278,35
193,-234.18318468066383,35
194,-87.29987558976862,35
195,-109.66961701205472,36
196,-330.07077150276115,36
197,-351.4242724567356,36
198,-125.18627396621694,36
199,-302.6024484086954,36
200,-326.6837043888346,37
201,-102.76799495692836,37
202,-553.8145575893064,37
203,-28.46636363888804,37
204,-142.4873110422326,37
205,-40.4357499405127,38
206,-156.42253503837478,38
207,-135.31237384573717,38
208,-220.4361393709931,38
209,-277.3492864976682,38
210,-29.403090335793394,38
211,-179.73542507656526,39
212,-191.27451439381713,39
213,-92.6073466213977,39
214,-130.22427074334803,39
215,-471.4564096892817,39
216,-181.17125404985188,39
217,-95.50474303763959,40
218,-208.30975298875188,40
219,16.15809283906158,40
220,-350.36173586767825,40
221,-276.2322587495148,40
